,labels,predicted
0,10,10
1,10,10
2,8,8
3,11,11
4,5,5
5,2,2
6,3,3
7,10,10
8,3,3
9,3,3
10,6,6
11,11,11
12,7,7
13,3,3
14,8,8
15,4,4
16,3,3
17,1,1
18,5,5
19,1,1
20,11,11
21,7,7
22,8,8
23,2,2
24,2,2
25,6,6
26,8,8
27,4,4
28,6,6
29,3,3
30,1,1
31,8,8
32,1,1
33,4,4
34,11,11
35,5,5
36,5,5
37,1,1
38,6,6
39,3,3
40,3,3
41,8,8
42,3,3
43,8,8
44,5,5
45,8,8
46,6,0
47,2,2
48,10,10
49,5,5
50,7,7
51,4,0
52,4,4
53,8,8
54,4,2
55,8,8
56,0,0
57,11,11
58,3,3
59,11,11
60,2,2
61,7,7
62,6,6
63,0,0
64,3,3
65,10,10
66,8,8
67,5,5
68,3,3
69,6,6
70,6,6
71,1,1
72,4,4
73,9,9
74,6,6
75,2,2
76,11,11
77,0,0
78,10,10
79,3,3
80,1,1
81,0,0
82,8,3
83,3,3
84,4,4
85,6,6
86,6,6
87,6,6
88,1,1
89,11,11
90,0,6
91,1,1
92,11,11
93,10,10
94,10,10
95,5,5
96,7,7
97,2,2
98,2,2
99,8,8
100,11,11
101,1,1
102,8,8
103,6,6
104,3,3
105,1,1
106,10,10
107,0,0
108,6,6
109,4,4
110,4,0
111,2,2
112,6,6
113,6,6
114,3,3
115,2,2
116,0,0
117,10,10
118,3,3
119,0,0
120,10,10
121,7,7
122,5,5
123,10,10
124,0,0
125,1,1
126,4,4
127,8,8
128,3,3
129,1,1
130,0,0
131,6,6
132,3,3
133,3,3
134,10,10
135,6,6
136,3,3
137,5,5
138,8,8
139,5,5
140,6,6
141,1,1
142,7,7
143,6,6
144,3,3
145,8,8
146,4,4
147,6,6
148,1,1
149,8,8
150,10,10
151,3,3
152,8,8
153,6,6
154,6,6
155,6,6
156,10,10
157,0,0
158,5,5
159,6,6
160,8,8
161,0,0
162,9,9
163,10,10
164,5,5
165,10,10
166,6,6
167,0,0
168,10,10
169,10,10
170,6,6
171,6,6
172,6,6
173,5,5
174,11,11
175,8,8
176,1,1
177,9,9
178,8,8
179,7,7
180,4,4
181,5,5
182,6,6
183,8,8
184,1,1
185,8,8
186,8,8
187,1,1
188,7,7
189,8,8
190,9,9
191,6,6
192,11,11
193,11,11
194,1,1
195,3,3
196,6,6
197,8,8
198,1,1
199,0,6
200,6,6
201,11,2
202,4,4
203,3,3
204,3,3
205,10,10
206,8,8
207,3,3
208,7,7
209,11,11
210,4,4
211,10,10
212,3,3
213,3,3
214,7,7
215,9,9
216,11,11
217,10,10
218,0,0
219,3,3
220,2,2
221,0,0
222,10,10
223,6,6
224,8,8
225,6,6
226,4,4
227,8,8
228,7,7
229,3,3
230,3,3
231,1,1
232,8,8
233,2,2
234,8,8
235,11,11
236,5,5
237,2,2
238,8,9
239,5,5
240,10,10
241,3,3
242,8,8
243,10,10
244,1,1
245,3,3
246,5,5
247,5,5
248,6,6
249,5,5
250,9,9
251,10,10
252,1,1
253,3,3
254,0,0
255,6,6
256,1,1
257,3,3
258,1,1
259,8,8
260,5,5
261,6,6
262,10,10
263,7,7
264,6,6
265,5,5
266,11,11
267,6,6
268,6,0
269,8,8
270,0,0
271,1,1
272,6,6
273,2,2
274,10,10
275,3,3
276,4,4
277,4,4
278,10,10
279,3,3
280,11,11
281,3,3
282,11,11
283,10,10
284,6,6
285,6,6
286,5,5
287,6,6
288,1,1
289,6,6
290,6,6
291,6,6
292,8,8
293,3,3
294,8,8
295,1,1
296,10,10
297,4,4
298,6,6
299,10,10
300,8,8
301,10,10
302,6,6
303,9,9
304,9,9
305,6,6
306,9,9
307,3,3
308,5,5
309,9,9
310,4,4
311,6,6
312,1,1
313,3,3
314,5,5
315,1,1
316,10,10
317,6,6
318,6,6
319,4,4
320,0,0
321,3,3
322,6,6
323,6,6
324,11,11
325,6,6
326,0,0
327,3,3
328,6,6
329,8,8
330,1,1
331,5,5
332,9,9
333,11,11
334,2,2
335,5,5
336,5,5
337,7,7
338,8,8
339,8,8
340,3,3
341,4,4
342,7,7
343,0,0
344,11,11
345,6,6
346,3,3
347,3,3
348,9,9
349,0,0
350,1,1
351,5,5
352,4,4
353,1,1
354,8,8
355,3,3
356,6,6
357,10,10
358,9,9
359,9,9
360,1,1
361,0,0
362,8,8
363,3,3
364,11,11
365,10,10
366,6,6
367,8,8
368,1,1
369,7,7
370,2,2
371,5,5
372,1,1
373,11,11
374,6,6
375,8,8
376,2,2
377,2,2
378,2,2
379,3,3
380,7,7
