,labels,predicted
0,11,11
1,3,3
2,10,10
3,11,11
4,10,10
5,7,7
6,4,4
7,8,8
8,6,6
9,0,0
10,10,10
11,10,10
12,9,9
13,5,5
14,3,3
15,10,10
16,3,3
17,1,1
18,8,8
19,10,10
20,8,8
21,6,6
22,7,7
23,11,11
24,4,4
25,8,8
26,11,11
27,6,6
28,11,11
29,5,5
30,1,1
31,1,1
32,3,3
33,6,6
34,10,10
35,3,3
36,6,6
37,3,3
38,7,7
39,5,5
40,6,6
41,6,6
42,7,7
43,2,2
44,1,1
45,6,6
46,2,2
47,5,5
48,6,6
49,3,3
50,11,11
51,7,7
52,3,3
53,7,7
54,11,11
55,3,3
56,4,4
57,10,10
58,1,1
59,8,8
60,5,5
61,9,9
62,6,6
63,5,5
64,10,10
65,5,5
66,11,11
67,9,9
68,2,2
69,1,1
70,5,5
71,9,9
72,0,0
73,8,8
74,10,10
75,6,6
76,6,6
77,1,1
78,11,11
79,6,6
80,10,10
81,8,8
82,3,3
83,2,2
84,6,6
85,4,4
86,2,2
87,9,9
88,0,0
89,11,11
90,5,5
91,9,9
92,6,6
93,8,8
94,10,10
95,3,3
96,9,9
97,2,2
98,0,0
99,6,6
100,10,10
101,5,5
102,3,3
103,0,0
104,6,6
105,2,2
106,0,0
107,0,0
108,11,11
109,1,1
110,8,8
111,5,5
112,6,6
113,3,3
114,6,6
115,6,6
116,5,5
117,1,1
118,9,9
119,2,2
120,5,5
121,4,4
122,11,11
123,10,10
124,11,11
125,11,11
126,9,9
127,6,6
128,3,3
129,3,3
130,8,8
131,3,3
132,5,5
133,8,8
134,5,5
135,10,10
136,8,8
137,6,6
138,11,11
139,1,1
140,8,8
141,7,7
142,10,10
143,7,7
144,3,3
145,0,0
146,1,1
147,10,10
148,8,8
149,6,6
150,7,7
151,6,6
152,8,8
153,8,8
154,3,3
155,5,5
156,0,0
157,0,0
158,8,8
159,6,6
160,3,3
161,9,9
162,7,7
163,4,4
164,1,1
165,10,10
166,6,6
167,11,11
168,8,8
169,2,2
170,0,0
171,2,2
172,10,10
173,8,8
174,6,6
175,10,10
176,5,5
177,3,3
178,6,6
179,10,10
180,5,5
181,8,8
182,7,7
183,7,7
184,6,6
185,1,1
186,6,6
187,1,1
188,3,3
189,3,3
190,5,5
191,0,0
192,11,11
193,8,8
194,3,3
195,9,9
196,5,5
197,8,8
198,7,7
199,3,3
200,11,11
201,11,11
202,4,4
203,10,10
204,0,0
205,11,11
206,1,1
207,3,3
208,1,1
209,3,3
210,8,8
211,10,10
212,0,0
213,5,5
214,8,8
215,3,3
216,10,10
217,5,5
218,10,10
219,11,11
220,11,11
221,3,3
222,2,2
223,8,8
224,0,0
225,6,6
226,1,1
227,5,5
228,6,6
229,1,1
230,3,3
231,2,2
232,9,9
233,4,4
234,8,8
235,1,1
236,5,5
237,5,5
238,5,5
